City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bluff,NZ,-46.6,168.3333,41.81,67,35,15.93,scattered clouds
80,Bethel,US,41.3712,-73.414,75.65,66,17,3.62,few clouds
81,Moron,AR,-34.6534,-58.6198,70.02,67,0,5.01,clear sky
82,Lerwick,GB,60.1545,-1.1494,53.6,94,93,13.33,overcast clouds
83,Cape Town,ZA,-33.9258,18.4232,62.28,83,75,1.01,broken clouds
84,The Valley,AI,18.217,-63.0578,89.46,70,20,9.22,few clouds
85,Sangar,RU,63.9242,127.4739,33.12,91,79,4.9,broken clouds
86,Port Lincoln,AU,-34.7333,135.8667,51.13,75,15,12.91,few clouds
87,Bredasdorp,ZA,-34.5322,20.0403,62.28,72,13,4.61,few clouds
88,Ust-Tsilma,RU,65.441,52.1498,44.67,85,100,12.33,overcast clouds
89,Cabo San Lucas,MX,22.8909,-109.9124,96.51,69,12,6.8,few clouds
90,Labuhan,ID,-6.8844,112.2051,77.58,87,97,7.43,overcast clouds
91,Cockburn Town,TC,21.4612,-71.1419,84.16,65,40,5.75,scattered clouds
92,Morgantown,US,39.6295,-79.9559,70.18,72,100,8.52,overcast clouds
93,Cidreira,BR,-30.1811,-50.2056,63.5,84,3,9.19,clear sky
94,Pevek,RU,69.7008,170.3133,30.79,96,100,19.3,light snow
95,Grand Gaube,MU,-20.0064,57.6608,72.37,71,7,5.99,clear sky
96,Thompson,CA,55.7435,-97.8558,51.96,66,90,5.75,overcast clouds
97,Ust-Kuyga,RU,70.0167,135.6,31.21,97,100,6.17,light snow
98,Leningradskiy,RU,69.3833,178.4167,27.12,72,100,5.82,overcast clouds
99,Kokopo,PG,-4.352,152.2633,79.16,80,75,6.93,broken clouds
100,Guerrero Negro,MX,27.9769,-114.0611,77.49,60,92,15.08,overcast clouds
101,Boa Vista,BR,2.8197,-60.6733,93.18,43,20,6.91,few clouds
102,Qaanaaq,GL,77.484,-69.3632,22.37,71,100,7.09,overcast clouds
103,Barabai,ID,-2.5833,115.3833,75.49,93,94,1.48,overcast clouds
104,Guadalupe Victoria,MX,32.2869,-115.105,91.94,28,41,4.74,scattered clouds
105,Pangkalanbuun,ID,-2.6833,111.6167,73.96,98,99,0.81,moderate rain
106,Mareeba,AU,-17.0,145.4333,66.92,95,19,2.3,few clouds
