City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Snezhnogorsk,RU,2021-09-20 02:57:53,69.1933,33.2531,22.78,83,36,9.19
68,Santa Cruz,BO,2021-09-20 02:57:10,-17.8,-63.1667,81.86,65,65,10.36
69,Acapulco,MX,2021-09-20 02:57:54,16.8634,-99.8901,79.41,82,55,2.57
70,Neyvo-Shaytanskiy,RU,2021-09-20 02:57:54,57.7286,61.2496,33.49,80,89,8.97
71,Niamey,NE,2021-09-20 02:57:55,13.5137,2.1098,84.49,70,0,10.36
72,Yellowknife,CA,2021-09-20 02:57:56,62.456,-114.3525,43.32,81,40,5.75
73,Carnarvon,AU,2021-09-20 02:57:56,-24.8667,113.6333,86.07,9,0,21.85
74,Hilo,US,2021-09-20 02:57:56,19.7297,-155.09,79.29,80,90,0.0
75,Fushe-Arrez,AL,2021-09-20 02:57:57,42.0622,20.0167,60.6,92,5,5.32
76,Dikson,RU,2021-09-20 02:57:57,73.5069,80.5464,35.28,76,100,17.69
77,San Patricio,US,2021-09-20 02:57:58,28.017,-97.5169,83.84,68,0,12.62
78,Belmonte,BR,2021-09-20 02:57:59,-15.8631,-38.8828,73.9,85,13,6.08
79,Chateaubelair,VC,2021-09-20 02:57:59,13.2833,-61.25,79.29,72,22,0.65
80,Andenes,NO,2021-09-20 02:57:59,69.3143,16.1194,44.58,81,100,9.22
81,Vestmannaeyjar,IS,2021-09-20 02:56:01,63.4427,-20.2734,51.44,89,86,23.2
82,Khatanga,RU,2021-09-20 02:58:00,71.9667,102.5,32.02,100,100,13.11
83,Bredasdorp,ZA,2021-09-20 02:58:00,-34.5322,20.0403,51.12,82,0,5.75
84,Iranshahr,IR,2021-09-20 02:58:01,27.2025,60.6848,86.34,45,0,0.0
85,Ispravnaya,RU,2021-09-20 02:58:01,44.0682,41.6102,52.72,77,64,5.95
86,Katsuura,JP,2021-09-20 02:58:02,35.1333,140.3,78.84,61,39,18.3
87,Fallon,US,2021-09-20 02:58:02,39.4735,-118.7774,64.27,32,54,18.86
88,Mecca,SA,2021-09-20 02:58:03,21.4267,39.8261,84.13,36,84,5.37
89,Cabo San Lucas,MX,2021-09-20 02:55:01,22.8909,-109.9124,84.61,81,8,3.27
90,Masuda,JP,2021-09-20 02:58:04,34.6667,131.85,79.07,65,20,8.05
91,Matagami,CA,2021-09-20 02:58:04,49.7502,-77.6328,60.91,59,40,17.27
92,Sao Filipe,CV,2021-09-20 02:58:05,14.8961,-24.4956,79.47,84,100,9.15
93,Celestun,MX,2021-09-20 02:58:05,20.8667,-90.4,81.73,82,21,12.84
94,Buraydah,SA,2021-09-20 02:54:25,26.326,43.975,81.05,22,2,8.84
95,Bari Sadri,IN,2021-09-20 02:58:06,24.4167,74.4667,77.34,89,60,10.45
96,Carauari,BR,2021-09-20 02:58:06,-4.8828,-66.8958,76.37,79,11,0.78
97,West Wendover,US,2021-09-20 02:58:07,40.7391,-114.0733,58.12,35,35,15.19
98,Saint George,US,2021-09-20 02:58:07,37.1041,-113.5841,82.8,16,0,2.53
99,Isla Vista,US,2021-09-20 02:58:08,34.4133,-119.861,71.67,66,5,1.99
100,Madanapalle,IN,2021-09-20 02:58:08,13.55,78.5,81.19,55,100,4.36
101,Havelock,US,2021-09-20 02:58:08,34.8791,-76.9013,77.95,92,84,5.75
102,Thompson,CA,2021-09-20 02:56:12,55.7435,-97.8558,53.76,76,90,12.66
103,Kavaratti,IN,2021-09-20 02:58:09,10.5669,72.642,81.59,78,92,10.63
104,Portland,US,2021-09-20 02:54:28,45.5234,-122.6762,61.56,86,17,5.01
105,Chuy,UY,2021-09-20 02:58:10,-33.6971,-53.4616,62.47,99,100,4.72
