City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
401,Monrovia,LR,78.57,overcast clouds,6.3005,-10.7969,Sunset Inn
402,Kavieng,PG,82.35,light rain,-2.5744,150.7967,Nusa Island Retreat
404,Huangpi,CN,76.96,light rain,30.8845,114.3779,Xinxing Lidu Hotel
406,Rubio,VE,77.04,scattered clouds,7.7013,-72.3557,Tourist Inn Where Maria P
407,Pasni,PK,80.76,broken clouds,25.2631,63.471,Kashmiri Hotal
409,Roma,US,75.43,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
411,Posse,BR,78.91,broken clouds,-14.0931,-46.3694,Pousada das Palmeiras
412,Sawakin,SD,86.0,scattered clouds,19.1059,37.3321,فندق الدويم
413,Champerico,GT,85.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
415,Auki,SB,81.79,scattered clouds,-8.7676,160.7034,Auki Motel
426,Kudahuvadhoo,MV,82.38,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
429,Biltine,TD,89.85,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
430,Catemaco,MX,78.51,broken clouds,18.4167,-95.1167,Hotel Playa Cristal
432,Hobyo,SO,77.67,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
434,Dalkola,IN,81.84,scattered clouds,25.85,87.85,Hotel Oasis Palace
435,Teahupoo,PF,76.96,light rain,-17.8333,-149.2667,Vanira Lodge
437,Port-Gentil,GA,77.56,light rain,-0.7193,8.7815,Fengshui Residence
438,Nyimba,ZM,76.26,few clouds,-14.5566,30.8149,Dali Dali Lodge
444,Palamos,ES,76.21,scattered clouds,41.8484,3.1291,Hotel Rosamar
